OU Size: 4x4
layer,time_s,energy_J
1,3.894080e-03,1.381197e-06
2,8.307371e-02,2.946553e-05
3,4.153685e-02,1.473277e-05
4,8.307371e-02,2.946553e-05
5,4.153685e-02,1.473277e-05
6,8.307371e-02,2.946553e-05
7,8.307371e-02,2.946553e-05
8,4.153685e-02,1.473277e-05
9,4.701537e-02,2.946553e-05
10,8.307371e-02,2.946553e-05
11,1.354009e-02,7.366383e-06
12,2.076843e-02,7.366383e-06
13,1.852533e-02,7.366383e-06
14,1.793690e-05,1.636980e-08
15,2.057369e-04,2.672611e-07
16,1.344424e-04,6.524928e-08
Total,,,
Latency (max),8.307371e-02,
Energy (sum),,2.448207e-04,
EDP, , ,2.033816e-05

OU Size: 8x16
layer,time_s,energy_J
1,2.920560e-03,1.527510e-06
2,6.230528e-02,3.258688e-05
3,3.115264e-02,1.629344e-05
4,6.230528e-02,3.258688e-05
5,3.115264e-02,1.629344e-05
6,6.230528e-02,3.258688e-05
7,6.230528e-02,3.258688e-05
8,3.115264e-02,1.629344e-05
9,3.526152e-02,3.258688e-05
10,6.230528e-02,3.258688e-05
11,1.015506e-02,8.146720e-06
12,1.557632e-02,8.146720e-06
13,1.389400e-02,8.146720e-06
14,1.345267e-05,1.810388e-08
15,1.543027e-04,2.955726e-07
16,1.008318e-04,7.216128e-08
Total,,,
Latency (max),6.230528e-02,
Energy (sum),,2.707551e-04,
EDP, , ,1.686947e-05

OU Size: 8x20
layer,time_s,energy_J
1,2.336448e-03,1.673823e-06
2,4.984423e-02,3.570823e-05
3,2.492211e-02,1.785411e-05
4,4.984423e-02,3.570823e-05
5,2.492211e-02,1.785411e-05
6,4.984423e-02,3.570823e-05
7,4.984423e-02,3.570823e-05
8,2.492211e-02,1.785411e-05
9,2.820922e-02,3.570823e-05
10,4.984423e-02,3.570823e-05
11,8.124051e-03,8.927057e-06
12,1.246106e-02,8.927057e-06
13,1.111520e-02,8.927057e-06
14,1.076214e-05,1.983797e-08
15,1.234421e-04,3.238842e-07
16,8.066545e-05,7.907328e-08
Total,,,
Latency (max),4.984423e-02,
Energy (sum),,2.966895e-04,
EDP, , ,1.478826e-05

OU Size: 8x24
layer,time_s,energy_J
1,1.947040e-03,1.820136e-06
2,4.153685e-02,3.882958e-05
3,2.076843e-02,1.941479e-05
4,4.153685e-02,3.882958e-05
5,2.076843e-02,1.941479e-05
6,4.153685e-02,3.882958e-05
7,4.153685e-02,3.882958e-05
8,2.076843e-02,1.941479e-05
9,2.350768e-02,3.882958e-05
10,4.153685e-02,3.882958e-05
11,6.770043e-03,9.707394e-06
12,1.038421e-02,9.707394e-06
13,9.262665e-03,9.707394e-06
14,8.968449e-06,2.157206e-08
15,1.028684e-04,3.521957e-07
16,6.722120e-05,8.598528e-08
Total,,,
Latency (max),4.153685e-02,
Energy (sum),,3.226239e-04,
EDP, , ,1.340078e-05

OU Size: 8x28
layer,time_s,energy_J
